Well_ID,Date,Production_BOPD,Water_Cut_Percent,Pressure_psi
W001,2024-01-01,1673,13.51,818
W002,2024-01-06,2584,14.73,1034
W003,2024-01-11,2164,17.7,851
W004,2024-01-16,2839,23.81,1432
W001,2024-01-21,1090,26.47,1005
W002,2024-01-26,2287,12.98,1436
W003,2024-01-31,2507,41.38,1243
W004,2024-02-05,1782,40.27,1331
W001,2024-02-10,1227,40.17,930
W002,2024-02-15,1095,19.9,947
W003,2024-02-20,2702,19.03,1208
W004,2024-02-25,2026,37.9,1149
W001,2024-03-01,1335,38.02,1334
W002,2024-03-06,2610,14.17,1158
W003,2024-03-11,1836,18.42,1199
W004,2024-03-16,2250,21.49,822
W001,2024-03-21,1009,22.9,1010
W002,2024-03-26,2202,30.92,909
W003,2024-03-31,2867,12.62,1049
W004,2024-04-05,2526,43.22,1456
W001,2024-04-10,1068,49.66,1343
W002,2024-04-15,1336,29.1,1007
W003,2024-04-20,1549,46.23,1290
W004,2024-04-25,1467,18.87,1387
